;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2239;271;3;26;21;2;0;0;17;68;4;4;367;6;31;0;2;41;242;6;225;26;0;19;0;56;31;0;2;0;147;30;41;0;1;52;0;16;0;4
areas with evolving shrubby and tree vegetation;301;1223;2;58;540;10;0;0;45;152;34;45;679;54;41;1;1;40;94;60;59;44;0;30;1;98;52;0;9;0;91;75;48;0;0;38;1;24;0;50
airport areas and heliports;9;25;90;0;3;0;0;0;86;78;0;0;0;0;6;0;14;10;68;0;1;18;0;0;0;25;64;0;0;0;52;0;42;0;0;56;0;0;0;0
areas with agricultural crops and important natural spaces;50;209;1;299;19;5;0;0;96;90;5;8;309;22;8;0;3;136;7;5;18;36;0;23;0;161;24;0;3;0;13;145;129;0;1;171;0;3;0;1
areas with sparse vegetation;4;254;1;10;2979;169;0;0;13;4;10;8;142;40;13;0;2;0;32;20;1;14;0;10;0;39;32;0;148;0;2;31;12;0;0;9;0;1;0;0
mining areas;58;139;4;2;159;573;0;0;87;106;336;0;101;0;797;0;0;2;710;94;22;96;0;8;0;17;116;0;4;0;79;41;11;0;0;0;0;1;0;437
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;9;0;0;0;0;8;0;0;1;1;163;0;0;0;0;0;0;0;34;0;0;4;0;0;0;0;16;0;0;0;0;0;0;0;0;2;0;0;0;4
recreational and sports areas;81;305;128;35;371;92;0;0;4033;920;593;127;308;268;306;1;82;35;112;131;45;678;0;132;24;73;545;2;1;0;472;198;145;0;39;492;1;43;0;15
green areas;119;88;47;10;8;28;0;0;433;2318;19;24;218;2;226;0;73;40;97;84;29;601;0;26;0;42;392;1;3;0;200;26;87;0;125;594;1;11;0;28
water basins;13;31;6;3;43;71;0;0;101;74;3011;2;72;0;56;0;0;2;361;19;14;85;0;5;0;2;134;0;0;0;89;12;12;0;2;31;0;4;0;868
coniferous forests;3;38;0;9;55;10;0;0;14;8;3;905;198;656;0;5;2;3;2;1;0;5;0;4;0;4;11;0;1;0;0;8;1;0;14;40;0;0;0;0
deciduous forests;484;431;3;94;79;12;0;0;101;368;62;36;7932;205;49;8;9;30;775;51;40;107;0;28;16;68;176;0;5;0;376;62;87;0;7;199;3;13;0;84
mixed coniferous and broad-leaved forests;4;87;0;14;94;6;0;0;10;7;2;262;472;921;0;1;0;2;37;2;2;1;0;1;0;23;6;0;5;0;1;15;0;0;4;20;0;1;0;0
construction sites;62;29;37;4;13;135;0;0;151;294;20;0;72;0;1263;0;24;7;169;121;17;538;0;2;0;28;399;0;1;0;304;42;26;0;29;157;0;13;0;43
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;5;3;4;7;2;0;0;0;106;64;1;1;19;2;25;0;633;5;7;8;0;461;0;0;0;9;136;0;0;0;54;6;11;0;74;350;0;7;0;0
