;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2008;314;1;28;11;2;0;0;15;90;7;0;389;6;36;0;0;31;241;4;327;21;0;15;0;76;26;0;0;0;180;45;33;0;0;56;0;33;0;5
areas with evolving shrubby and tree vegetation;341;1232;6;52;454;26;0;0;38;139;26;45;700;65;39;0;2;26;100;34;42;57;0;31;3;136;54;0;0;0;83;106;36;0;0;48;0;14;0;65
airport areas and heliports;1;4;21;0;0;0;0;0;159;101;0;0;0;0;4;0;1;7;84;0;62;20;0;0;0;5;32;0;0;0;48;6;5;0;0;32;0;55;0;0
areas with agricultural crops and important natural spaces;72;212;0;288;8;6;0;0;59;63;4;14;280;11;11;0;4;88;12;1;42;37;0;18;0;280;32;0;0;0;6;118;121;0;1;206;0;6;0;0
areas with sparse vegetation;3;217;0;1;3010;176;0;0;23;2;7;8;170;37;12;0;0;0;41;17;3;7;0;19;0;41;33;0;93;0;1;59;8;0;0;10;0;2;0;0
mining areas;26;266;2;0;134;1046;0;0;75;70;311;0;132;0;493;0;0;1;793;83;42;64;0;7;0;43;53;5;0;0;28;38;4;0;0;11;0;6;0;267
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;4;0;0;11;0;113;0;0;0;0;0;0;0;52;0;0;52;0;0;0;0;5;0;0;0;0;0;0;0;0;4;0;0;0;1
recreational and sports areas;36;250;39;27;227;205;0;0;4568;892;559;29;335;358;328;2;85;16;95;149;57;686;0;68;29;157;413;0;1;0;331;239;92;0;44;468;0;39;0;9
green areas;73;114;24;12;2;48;0;0;423;2539;21;21;185;8;281;0;39;25;110;30;27;607;0;16;0;45;354;0;0;0;143;18;83;0;112;604;0;27;0;9
water basins;7;12;0;0;38;48;0;0;85;56;3273;1;53;0;51;0;0;3;485;6;25;81;0;6;0;8;94;0;1;0;70;16;6;0;2;21;0;7;0;668
coniferous forests;1;46;0;7;30;4;0;0;6;0;2;960;161;679;3;1;1;0;6;0;0;6;0;3;4;9;10;0;2;0;0;11;0;0;6;42;0;0;0;0
deciduous forests;376;380;0;92;58;10;0;0;108;349;63;38;8130;226;87;5;5;33;766;11;54;123;0;10;28;46;195;0;2;0;384;72;91;0;11;180;2;12;0;53
mixed coniferous and broad-leaved forests;3;85;0;12;93;0;0;0;1;0;1;281;527;918;1;0;2;0;16;0;0;3;0;0;0;21;3;0;3;0;3;13;1;0;0;13;0;0;0;0
construction sites;17;35;18;4;7;202;0;0;129;312;14;0;54;2;1359;0;31;7;137;185;13;632;0;5;0;12;360;0;0;0;202;18;17;0;24;183;0;10;0;11
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;3;0;6;7;0;0;0;0;100;114;0;1;8;0;23;0;637;1;4;4;0;515;0;0;0;8;108;0;0;0;41;17;2;0;71;329;0;1;0;0
temporary crops associated with permanent crops;71;52;6;41;3;52;0;0;120;290;12;0;51;0;36;0;6;245;75;2;34;84;0;6;0;111;44;0;0;0;273;106;152;0;7;101;0;18;0;2
waterways, canals and waterways;65;93;17;7;67;156;0;0;71;132;305;5;586;1;221;0;4;16;5383;25;19;117;0;1;0;30;273;0;5;0;203;14;22;0;3;67;0;8;0;84
landfills and scrap yards;8;265;12;1;43;604;0;0;180;179;21;0;116;0;276;0;1;31;91;458;1;1063;0;0;0;325;630;0;0;0;76;489;9;0;2;69;0;3;0;36
orchards;77;24;0;6;1;4;0;0;31;47;8;0;25;0;12;0;3;7;26;4;1243;26;0;39;0;10;15;0;0;0;77;16;39;0;0;49;0;210;0;1
industrial, commercial, large-scale plant and service settlements;42;107;61;15;3;51;0;0;411;659;80;1;399;0;397;0;174;7;373;111;18;5927;0;5;0;45;1401;0;0;0;144;41;47;0;464;921;0;26;0;37
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;16;26;41;10;14;0;0;0;228;255;4;0;26;0;12;0;6;0;6;3;127;15;0;884;0;3;25;0;0;0;52;61;101;0;0;54;0;31;0;0
high altitude prairies and moors;0;0;0;1;49;0;0;0;4;0;0;0;20;0;0;3;0;0;0;0;0;0;0;0;1875;0;0;0;47;0;0;0;0;0;0;0;1;0;0;0
stable meadows;15;78;9;136;20;11;0;0;41;27;0;1;67;6;15;0;2;44;16;2;18;29;0;21;2;692;21;0;0;0;92;564;28;0;1;33;0;9;0;0
road and railway infrastructure networks and areas and ancillary spaces;26;85;53;27;20;139;0;0;184;397;37;14;156;6;629;0;76;2;335;246;15;3273;0;2;0;38;8138;0;2;0;299;66;54;0;238;337;0;23;0;4
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;35;0;0;379;2;0;0;4;4;0;1;93;0;1;0;23;0;0;0;0;1;0;0;0;2;2;0;107;0;0;4;0;0;0;39;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;159;72;15;1;3;5;0;0;173;235;27;0;72;0;154;0;16;14;117;19;204;286;0;1;0;28;137;0;0;0;3888;50;86;0;9;175;0;37;0;17
non-irrigated arable land;12;15;5;44;14;6;0;0;29;10;3;0;43;1;22;0;0;36;3;2;27;18;0;22;0;300;11;0;0;0;163;1133;18;0;0;45;0;18;0;0
complex cultivation and parcel systems;78;37;1;41;3;2;0;0;158;242;6;0;90;0;44;0;15;47;56;4;128;94;0;23;0;56;43;0;0;0;170;61;278;0;11;264;0;48;0;0
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;0;1;1;2;0;0;0;0;43;91;1;0;6;0;22;0;66;0;25;3;4;465;0;0;0;0;215;0;0;0;3;4;3;0;2661;383;0;1;0;0
discontinuous fabric;13;21;3;24;3;2;0;0;176;409;8;12;91;10;100;0;109;16;59;17;28;517;0;10;0;24;165;0;2;0;98;30;57;0;217;1759;0;19;0;1
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vineyards;13;11;0;0;0;1;0;0;20;25;2;0;6;0;8;0;3;8;12;0;125;11;0;37;0;6;9;0;0;0;45;5;20;0;0;12;0;1619;0;2
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;18;44;1;0;4;49;0;0;10;41;306;0;189;0;59;0;0;13;177;11;5;18;0;0;0;11;39;5;0;0;44;9;2;0;0;3;2;1;0;939
