;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2076;299;3;38;14;11;0;0;33;69;7;2;380;7;45;0;2;28;215;7;220;14;0;4;1;91;19;1;1;0;183;51;56;0;1;52;0;41;0;29
areas with evolving shrubby and tree vegetation;249;1356;11;79;444;19;0;0;45;101;21;57;617;52;32;1;4;57;97;35;99;35;0;11;0;150;45;1;8;0;122;107;41;0;0;37;0;11;0;56
airport areas and heliports;0;0;16;0;0;0;0;0;95;56;3;0;7;0;1;0;6;1;80;1;22;9;0;0;0;21;43;0;0;0;70;0;17;0;0;29;0;170;0;0
areas with agricultural crops and important natural spaces;42;195;8;374;25;1;0;0;37;86;4;16;255;23;11;0;3;60;13;2;18;26;0;8;0;218;19;0;3;0;20;193;167;0;4;163;1;5;0;0
areas with sparse vegetation;2;332;0;7;2856;159;0;0;9;7;3;12;162;54;15;0;0;2;53;10;4;18;0;7;0;36;52;0;142;0;2;42;9;0;0;5;0;0;0;0
mining areas;18;189;0;2;104;863;0;0;39;80;313;2;150;0;695;0;2;0;725;55;23;62;0;4;0;23;150;0;7;0;68;33;16;0;0;11;0;1;0;365
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;2;0;0;0;0;0;0;0;2;0;190;0;0;0;0;0;0;0;26;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
recreational and sports areas;43;269;72;69;429;159;0;0;3573;1197;584;207;262;49;375;0;134;53;131;75;100;749;0;32;26;139;510;0;4;0;516;218;121;0;47;633;0;33;0;24
green areas;97;110;23;16;7;48;0;0;424;2377;35;16;164;17;247;0;97;53;119;50;35;457;0;7;1;86;364;0;1;0;233;38;96;0;142;603;0;25;0;12
water basins;11;22;1;3;41;84;0;0;102;67;2962;0;49;0;48;0;2;2;420;15;23;94;0;0;0;8;81;0;0;0;96;29;10;0;4;29;10;4;0;906
coniferous forests;4;50;0;9;31;6;0;0;7;0;0;908;143;754;0;0;1;0;4;1;0;6;0;0;7;10;16;0;0;0;4;4;2;0;3;30;0;0;0;0
deciduous forests;565;447;8;198;92;11;0;0;85;360;87;84;7627;212;68;14;12;25;716;19;63;96;0;9;26;108;187;7;5;0;408;83;113;0;10;173;0;18;0;64
mixed coniferous and broad-leaved forests;7;106;1;7;89;1;0;0;7;1;1;241;525;934;2;0;0;4;18;0;1;1;0;0;0;20;2;0;2;0;0;14;4;0;2;10;0;0;0;0
construction sites;18;52;16;4;16;163;0;0;164;342;10;1;57;0;1286;0;35;9;132;145;12;577;0;0;0;21;346;5;1;0;299;28;44;0;32;167;0;8;0;10
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;18;1;9;2;0;0;0;0;53;68;1;0;10;4;34;0;728;4;6;10;3;359;0;0;0;18;111;0;0;0;52;9;7;0;119;374;0;0;0;0
temporary crops associated with permanent crops;97;77;5;68;6;31;0;0;54;265;6;1;64;1;47;0;11;228;55;5;51;38;0;3;0;111;51;0;0;0;351;115;140;0;8;69;0;40;0;2
waterways, canals and waterways;114;83;15;9;33;181;0;0;79;97;256;8;424;7;123;0;3;14;5647;46;20;93;0;2;1;52;208;3;8;0;258;16;35;0;6;51;0;7;0;101
landfills and scrap yards;45;447;5;61;72;358;0;0;160;248;18;0;86;0;171;0;4;39;112;464;31;1053;0;0;1;260;579;0;18;0;123;536;19;0;6;47;0;7;0;19
orchards;86;31;8;11;2;4;0;0;38;32;3;2;24;0;15;0;0;12;19;2;1201;22;0;28;0;13;16;0;1;0;94;22;39;0;1;49;0;225;0;0
industrial, commercial, large-scale plant and service settlements;102;105;52;48;9;65;0;0;503;527;98;6;295;8;530;0;206;34;356;212;18;5741;0;4;0;59;1254;5;1;0;269;92;54;0;390;888;0;22;0;14
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;18;44;18;7;23;3;0;0;177;151;5;1;18;5;2;0;1;16;4;31;250;11;0;495;0;52;15;0;1;0;134;94;263;0;0;58;0;103;0;0
high altitude prairies and moors;0;0;0;2;51;0;0;0;0;0;0;0;29;3;0;14;0;0;0;0;0;0;0;0;1838;2;0;0;58;0;0;0;0;0;0;0;3;0;0;0
stable meadows;10;96;12;135;47;9;0;0;36;22;3;3;55;7;8;1;3;45;10;5;12;18;0;8;4;666;19;0;1;0;87;582;49;0;2;35;0;8;0;2
road and railway infrastructure networks and areas and ancillary spaces;36;110;163;36;18;46;0;0;186;436;34;12;154;4;601;0;94;3;392;218;26;3100;0;0;0;39;8036;1;17;0;489;54;55;0;251;285;0;17;0;8
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;45;0;0;342;4;0;0;0;36;0;2;76;0;8;0;40;0;0;4;0;4;0;0;0;0;8;0;110;0;0;0;0;0;0;18;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;219;61;15;6;0;17;0;0;147;155;21;1;72;1;116;0;11;27;75;29;295;206;0;5;0;44;118;22;2;0;3902;36;168;0;16;149;0;30;0;34
non-irrigated arable land;10;22;7;57;20;4;0;0;25;16;5;3;39;3;8;0;2;30;5;4;11;18;0;17;1;300;11;0;1;0;165;1145;28;0;1;32;0;10;0;0
complex cultivation and parcel systems;48;46;4;55;0;0;0;0;118;250;4;0;89;1;42;0;8;54;39;7;120;71;0;26;0;55;76;0;0;0;211;93;291;0;17;245;0;30;0;0
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;1;0;3;3;1;0;0;0;24;79;0;0;9;0;12;0;78;1;24;3;2;468;0;1;0;1;337;0;4;0;9;3;7;0;2527;402;0;1;0;0
discontinuous fabric;19;18;8;54;8;0;0;0;165;383;3;17;70;11;125;0;136;14;41;16;13;457;0;7;0;22;158;0;1;0;101;37;74;0;272;1745;0;23;0;2
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vineyards;22;15;1;5;0;2;0;0;17;19;2;0;5;0;14;0;3;3;12;3;136;16;0;18;0;3;4;0;0;0;66;7;33;0;0;20;0;1569;0;5
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;19;49;1;0;5;78;0;0;5;37;270;0;150;0;34;0;0;22;157;29;5;14;0;1;0;9;21;2;0;0;69;4;2;0;0;3;1;6;0;1007
