;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2160;331;2;41;27;0;0;0;35;76;9;2;377;8;33;0;1;42;220;3;201;36;0;12;2;93;31;1;1;0;91;26;40;0;5;43;0;46;0;5
areas with evolving shrubby and tree vegetation;312;1216;6;92;577;26;0;0;46;104;35;55;549;69;43;1;3;58;114;35;61;47;0;10;4;89;76;0;4;0;100;73;36;0;2;42;0;46;0;69
airport areas and heliports;0;0;75;1;0;1;0;0;108;42;0;0;4;0;2;0;6;13;134;1;20;21;0;0;0;53;50;0;0;0;30;0;19;0;1;36;0;15;0;15
areas with agricultural crops and important natural spaces;77;209;6;391;26;4;0;0;60;95;19;14;222;27;15;0;7;98;20;4;38;43;0;14;3;205;22;0;0;0;13;115;100;0;10;139;0;4;0;0
areas with sparse vegetation;2;237;1;12;2960;206;0;0;10;6;12;7;101;37;26;3;1;4;65;9;2;19;0;5;3;30;25;0;151;0;1;43;7;0;0;6;0;8;0;1
mining areas;100;256;21;5;173;814;0;0;105;61;280;0;124;0;525;0;1;1;862;85;16;52;0;19;3;49;81;2;17;0;29;54;24;0;4;2;0;8;0;227
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;0;0;0;2;3;138;0;0;0;0;0;0;0;71;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
recreational and sports areas;82;360;170;64;477;93;0;0;4001;720;722;77;252;192;220;1;93;64;128;71;93;755;0;20;23;197;545;0;9;0;267;247;198;0;63;512;0;83;0;34
green areas;105;116;44;22;18;35;0;0;553;2234;16;34;193;3;245;0;90;52;158;56;63;478;0;20;1;69;367;0;1;0;136;23;100;0;134;566;0;30;0;38
