;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2039;409;1;50;26;7;0;0;25;71;4;4;287;17;35;1;0;32;214;4;211;22;0;11;0;91;27;0;1;0;239;16;54;0;1;58;0;26;0;17
areas with evolving shrubby and tree vegetation;293;1255;4;82;492;13;0;0;49;131;29;79;532;67;45;1;0;62;117;29;78;37;0;11;0;125;43;0;2;0;141;86;51;0;0;56;0;6;0;84
airport areas and heliports;10;1;13;1;2;0;0;0;203;64;0;0;3;0;1;0;2;0;12;0;35;15;0;0;0;54;34;0;0;0;87;2;0;0;0;24;0;84;0;0
areas with agricultural crops and important natural spaces;38;177;1;331;14;2;0;0;40;81;11;9;278;18;11;0;6;74;16;6;24;33;0;18;1;250;28;0;1;0;32;158;149;0;6;182;0;5;0;0
areas with sparse vegetation;2;362;2;14;2756;141;0;0;19;4;4;18;176;58;20;0;3;1;93;32;0;3;0;12;0;43;39;0;136;0;2;47;6;0;0;5;0;2;0;0
mining areas;46;282;7;3;191;667;0;0;86;95;288;0;78;0;711;0;0;0;678;70;35;56;0;1;2;78;128;1;13;0;82;21;5;0;0;9;0;7;0;360
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;5;0;0;5;12;80;0;7;0;0;0;0;0;69;0;0;54;0;0;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1
recreational and sports areas;64;292;66;64;499;169;0;0;3453;976;597;195;209;202;359;0;77;69;191;71;103;763;0;53;19;164;467;0;15;0;518;216;204;0;75;570;0;82;0;31
green areas;134;121;37;20;13;32;0;0;459;2171;23;28;168;3;277;0;73;60;104;68;43;421;0;21;0;103;332;0;4;0;265;47;103;0;141;652;0;34;0;43
water basins;13;23;2;3;40;72;0;0;178;51;3007;3;49;1;76;0;0;3;444;7;16;55;0;0;0;15;93;1;1;0;108;15;14;0;0;30;0;6;0;797
coniferous forests;2;36;0;4;33;6;0;0;25;10;2;939;158;671;0;2;0;1;10;0;4;5;0;0;3;10;11;0;1;0;1;10;1;0;10;44;1;0;0;0
deciduous forests;439;506;4;144;104;11;0;0;112;419;98;63;7592;214;69;12;23;29;764;30;68;101;0;13;11;66;164;0;3;0;416;62;94;0;19;242;1;11;0;96
mixed coniferous and broad-leaved forests;5;101;0;19;106;2;0;0;15;4;0;316;538;770;6;0;0;1;42;1;2;0;0;0;0;33;4;0;3;0;0;13;2;0;0;14;0;2;0;1
construction sites;48;45;19;11;24;159;0;0;143;324;24;0;67;2;1222;0;35;7;101;144;21;514;0;2;0;26;296;3;3;0;366;37;51;0;34;207;0;17;0;48
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;16;1;11;3;3;1;0;0;63;81;2;3;15;4;57;0;566;2;5;16;4;394;0;0;0;28;106;0;0;0;65;9;7;0;164;367;0;7;0;0
temporary crops associated with permanent crops;80;97;26;42;0;14;0;0;106;243;11;0;62;0;54;0;9;221;43;6;53;52;0;14;0;144;15;0;1;0;308;101;171;0;9;65;0;39;0;14
waterways, canals and waterways;110;109;9;12;76;102;0;0;85;154;178;7;411;9;121;0;13;19;5496;47;31;76;0;0;1;46;234;3;11;0;357;28;39;0;12;68;0;20;0;116
landfills and scrap yards;59;352;19;13;182;295;0;0;139;151;19;2;60;1;267;0;10;45;78;437;15;855;0;0;0;589;559;0;4;0;226;490;16;0;9;62;0;2;0;33
