;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2074;332;1;50;17;2;0;0;25;86;6;1;326;5;41;0;1;35;284;6;224;50;0;18;0;68;54;0;7;0;108;25;68;0;3;51;0;20;0;12
areas with evolving shrubby and tree vegetation;420;1197;3;98;509;25;0;0;45;139;38;65;497;89;49;1;0;60;96;27;49;46;0;33;1;107;74;1;4;0;101;49;45;0;0;56;0;8;0;68
airport areas and heliports;0;2;28;10;0;0;0;0;107;92;0;0;0;0;8;0;4;8;143;0;9;16;0;0;0;21;40;0;0;0;65;0;16;0;0;42;0;36;0;0
areas with agricultural crops and important natural spaces;80;235;0;358;15;8;0;0;102;77;36;29;185;24;11;0;14;71;27;3;38;44;0;18;0;187;25;0;0;0;25;105;129;0;3;144;0;6;0;1
areas with sparse vegetation;1;292;1;9;2906;193;0;0;29;6;22;13;77;63;41;0;0;2;62;27;3;19;0;14;1;37;43;0;97;0;1;18;10;0;1;8;0;4;0;0
mining areas;60;224;4;7;49;733;0;0;74;79;302;0;56;0;755;0;2;2;968;36;33;84;0;21;0;13;88;85;2;0;29;30;30;0;0;6;0;21;0;207
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;4;0;0;3;1;46;0;0;0;0;0;0;0;82;0;0;66;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;18
recreational and sports areas;60;441;121;65;259;203;0;0;3809;1001;501;152;196;203;352;0;94;28;173;121;50;740;0;101;26;164;584;0;5;0;348;207;199;0;64;486;2;61;0;17
green areas;109;121;31;24;11;36;0;0;516;2313;16;26;178;8;244;0;95;44;105;45;37;585;0;27;0;73;332;0;2;0;200;18;164;0;99;497;0;19;0;25
water basins;19;29;5;2;37;100;0;0;166;95;2729;0;65;1;60;0;4;5;370;14;14;166;0;2;0;9;129;3;1;0;54;16;8;0;0;21;0;11;0;988
coniferous forests;6;56;0;12;45;5;0;0;7;3;2;877;119;788;1;0;5;0;10;2;0;13;0;1;0;2;4;0;1;0;1;6;0;0;2;32;0;0;0;0
deciduous forests;627;570;2;148;106;27;0;0;120;388;114;56;7322;251;87;4;14;35;885;25;78;141;0;39;23;77;166;0;5;0;227;53;124;0;7;190;1;9;0;79
mixed coniferous and broad-leaved forests;11;92;0;23;101;4;0;0;13;8;3;213;395;1052;0;0;1;1;13;2;2;3;0;0;0;23;1;0;7;0;3;7;4;0;0;18;0;0;0;0
construction sites;57;53;27;9;8;96;0;0;141;270;21;0;45;2;1469;0;51;9;157;138;21;545;0;1;0;27;357;1;9;0;204;25;25;0;39;152;0;9;0;32
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;3;3;24;17;0;2;0;0;143;81;1;5;6;1;33;0;575;1;10;12;0;429;0;0;0;5;155;0;0;0;35;10;6;0;127;311;0;4;0;1
temporary crops associated with permanent crops;95;54;14;43;1;44;0;0;189;214;8;0;65;1;86;0;4;212;97;14;36;112;0;22;0;97;48;0;0;0;206;46;157;0;8;89;0;33;0;5
waterways, canals and waterways;119;108;26;22;59;101;0;0;90;158;314;2;426;6;292;0;12;10;5234;57;14;171;0;3;0;37;321;2;10;0;158;16;32;0;7;57;0;9;0;127
landfills and scrap yards;23;386;3;28;81;265;0;0;168;174;26;0;153;0;357;0;5;19;151;827;0;752;0;1;0;327;627;2;3;0;148;366;45;0;3;47;0;0;0;2
orchards;111;47;6;8;1;1;0;0;52;63;5;0;21;0;17;0;4;13;27;4;1135;45;0;31;0;8;14;0;0;0;74;20;54;0;1;48;0;189;0;1
industrial, commercial, large-scale plant and service settlements;86;121;76;32;10;71;0;0;601;686;131;1;379;3;509;0;222;20;413;216;95;5389;0;8;0;35;1322;4;0;0;210;23;63;0;436;709;0;33;0;63
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;11;32;35;26;41;0;0;0;239;276;5;0;19;3;7;0;8;0;4;8;121;22;0;562;0;7;27;0;0;0;24;41;238;0;0;68;0;176;0;0
high altitude prairies and moors;0;0;0;0;49;0;0;0;2;0;0;3;22;1;0;16;0;0;0;0;0;0;0;0;1857;0;1;0;39;0;0;0;0;0;0;0;10;0;0;0
stable meadows;24;120;8;149;33;9;0;0;64;36;8;4;71;2;12;1;5;72;14;4;17;37;0;16;2;656;19;0;1;0;57;467;42;0;0;41;0;7;0;2
road and railway infrastructure networks and areas and ancillary spaces;55;107;132;51;28;36;0;0;250;575;71;12;237;6;815;0;130;12;409;232;39;3085;0;0;0;55;7392;0;9;0;382;57;93;0;280;328;0;32;0;11
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;50;0;2;374;2;0;0;2;0;2;0;37;16;0;0;7;0;4;6;0;2;0;0;2;1;5;0;131;0;0;0;0;0;0;54;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;312;105;23;1;2;10;0;0;138;230;26;0;77;0;270;0;37;51;114;41;156;231;0;6;1;59;201;2;10;0;3466;73;118;0;15;128;0;54;0;43
non-irrigated arable land;17;29;8;61;20;6;0;0;36;21;10;3;45;1;18;0;1;52;6;4;21;36;0;29;1;306;22;0;2;0;137;1028;29;0;0;41;0;10;0;0
