;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2040;337;0;45;8;5;0;0;12;110;6;2;359;2;39;0;0;36;202;5;298;28;0;10;0;70;32;0;2;0;169;37;62;0;1;46;0;25;0;12
areas with evolving shrubby and tree vegetation;341;1346;2;75;393;18;0;0;48;181;23;43;661;46;69;0;1;32;93;36;71;34;0;19;1;104;50;0;2;0;84;79;50;0;0;57;0;13;0;28
airport areas and heliports;52;0;29;0;0;0;0;0;81;84;0;0;0;0;9;0;15;5;60;0;124;9;0;0;0;1;47;0;0;0;60;0;6;0;0;47;0;18;0;0
areas with agricultural crops and important natural spaces;51;222;0;335;10;2;0;0;61;96;5;11;268;12;11;0;4;89;10;1;24;25;0;14;0;180;28;0;0;0;14;135;183;0;3;204;0;2;0;0
areas with sparse vegetation;2;341;0;9;2824;219;0;0;6;1;7;8;169;41;18;0;0;0;47;20;2;15;0;14;0;48;24;0;119;0;4;42;10;0;0;6;0;4;0;0
mining areas;24;149;2;1;170;937;0;0;88;81;372;0;110;0;652;0;1;0;768;118;35;39;0;3;2;11;73;1;11;0;26;51;10;0;0;0;0;0;0;265
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;0;0;0;3;0;199;0;0;0;0;0;0;0;28;0;0;2;0;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;1
recreational and sports areas;39;314;45;33;336;133;0;0;4179;1013;526;143;298;186;441;0;89;29;93;130;62;711;0;18;30;134;430;0;2;0;367;219;188;0;54;557;0;17;0;17
green areas;66;84;31;7;2;28;0;0;396;2691;16;24;174;2;256;0;85;37;86;31;32;552;0;13;0;30;352;0;0;0;149;39;65;0;104;617;0;16;0;15
water basins;6;30;0;0;37;45;0;0;56;55;3423;0;46;0;55;0;0;2;422;12;26;90;0;3;0;5;82;0;1;0;63;14;5;0;0;25;0;1;0;619
coniferous forests;0;31;0;7;39;2;0;0;1;5;0;914;220;691;0;2;1;0;10;0;0;6;0;1;1;6;10;0;1;0;1;4;2;0;2;43;0;0;0;0
deciduous forests;422;482;1;80;42;7;0;0;94;375;73;39;8146;200;92;2;14;14;615;16;54;89;0;6;26;70;209;0;5;0;338;62;108;0;7;249;2;12;0;49
mixed coniferous and broad-leaved forests;2;72;0;14;64;1;0;0;2;0;0;293;544;926;0;0;0;3;10;0;0;0;0;0;0;23;7;0;5;0;1;14;0;0;0;19;0;0;0;0
construction sites;18;30;26;4;9;115;0;0;119;343;15;0;51;1;1405;0;36;7;119;180;7;586;0;1;0;20;361;0;4;0;224;34;31;0;26;207;0;10;0;11
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;9;2;1;1;1;0;0;0;65;99;0;1;17;0;33;0;716;3;2;6;1;488;0;0;0;1;107;0;0;0;26;7;6;0;93;314;0;1;0;0
temporary crops associated with permanent crops;120;38;8;34;5;18;0;0;93;327;6;0;51;0;97;0;5;174;48;1;36;127;0;2;0;93;44;0;0;0;239;115;198;0;1;94;0;25;0;1
waterways, canals and waterways;96;100;18;4;42;137;0;0;62;134;294;1;475;5;177;0;3;12;5595;39;16;96;0;1;0;14;300;1;6;0;199;6;16;0;4;82;0;7;0;58
landfills and scrap yards;49;410;6;1;41;794;0;0;122;198;19;2;76;1;270;0;2;7;55;500;16;989;0;0;0;198;657;0;4;0;66;387;24;0;1;75;0;1;0;18
orchards;97;34;7;12;1;0;0;0;37;39;7;0;11;0;20;0;2;8;18;4;1238;28;0;33;0;6;11;0;0;0;71;15;50;0;0;46;0;204;0;1
industrial, commercial, large-scale plant and service settlements;64;118;49;27;6;45;0;0;392;889;91;1;374;1;425;0;208;8;327;155;20;5801;0;4;0;29;1430;0;1;0;203;38;30;0;441;755;0;13;0;22
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;3;21;58;2;11;0;0;0;161;362;5;5;18;0;18;0;18;2;4;10;247;37;0;585;0;12;28;0;0;0;43;105;125;0;0;71;0;49;0;0
high altitude prairies and moors;0;0;0;0;58;0;0;0;4;0;0;1;22;1;0;15;0;0;0;0;0;0;0;0;1850;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0
stable meadows;19;102;14;138;25;15;0;0;47;41;1;4;65;1;6;0;4;46;15;2;10;27;0;13;2;712;19;0;0;0;88;523;26;0;0;28;0;7;0;0
road and railway infrastructure networks and areas and ancillary spaces;24;74;96;16;22;63;0;0;225;469;52;9;183;6;751;0;102;8;328;210;8;3109;0;0;0;23;8205;0;5;0;301;42;20;0;246;303;0;9;0;12
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;59;0;0;399;3;0;0;3;0;4;1;82;2;1;0;0;0;0;2;0;6;0;0;0;7;18;0;64;0;0;1;0;0;0;45;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;142;130;8;2;2;3;0;0;184;252;25;0;67;0;200;0;14;27;91;33;204;221;0;2;0;14;150;1;2;0;3891;47;114;0;6;137;0;21;0;10
non-irrigated arable land;7;34;7;53;12;5;0;0;29;16;4;0;46;3;10;0;1;25;2;4;18;18;0;15;0;294;16;0;0;0;149;1158;27;0;1;42;0;4;0;0
complex cultivation and parcel systems;31;41;5;46;2;0;0;0;142;270;9;0;76;1;78;0;14;35;43;5;138;106;0;25;0;49;58;0;0;0;188;50;334;0;6;220;0;28;0;0
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;0;1;1;2;0;0;0;0;20;103;0;0;3;0;20;0;79;1;14;7;4;691;0;0;0;2;217;0;0;0;6;3;5;0;2435;386;0;0;0;0
discontinuous fabric;18;18;5;29;4;1;0;0;143;397;3;6;85;13;101;0;113;13;32;14;24;499;0;6;0;26;176;0;1;0;95;34;85;0;255;1785;0;19;0;0
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;2;0;0;0;0;0;0;0;0;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vineyards;20;8;3;0;1;0;0;0;17;24;2;0;3;0;8;0;4;1;14;0;150;11;0;23;0;5;13;0;0;0;52;8;17;0;1;24;0;1587;0;4
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;14;56;1;4;5;75;0;0;7;34;298;0;124;0;54;0;0;7;177;13;0;20;0;0;0;9;24;2;0;0;71;1;6;0;0;3;0;1;0;994
