;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;1896;440;4;41;18;3;0;0;14;82;8;1;327;2;31;0;0;53;203;12;349;27;0;19;3;76;22;1;1;0;175;22;50;0;3;62;0;36;0;19
areas with evolving shrubby and tree vegetation;216;1474;9;94;429;18;0;0;67;127;32;42;481;72;39;1;3;55;118;24;55;25;0;14;3;145;42;0;8;0;126;121;55;0;0;53;0;7;0;45
airport areas and heliports;5;0;5;0;0;0;0;0;195;52;2;0;0;0;5;30;23;7;32;2;5;45;0;0;0;14;30;0;0;0;82;1;7;0;0;19;0;86;0;0
areas with agricultural crops and important natural spaces;44;220;7;294;15;1;0;0;50;88;13;2;250;25;17;1;8;99;9;3;22;34;0;8;0;200;25;0;3;0;32;128;210;0;6;175;0;9;0;2
areas with sparse vegetation;3;347;2;22;2867;145;0;0;12;4;5;15;95;37;22;1;1;0;42;13;2;15;0;11;0;69;47;0;107;0;4;92;10;0;0;4;0;6;0;0
mining areas;73;250;0;2;66;682;0;0;91;145;375;0;72;0;679;0;1;3;709;76;51;97;0;9;0;14;108;11;8;0;80;32;8;0;1;1;0;15;0;341
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;6;0;0;11;0;134;0;0;0;0;0;14;0;36;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
recreational and sports areas;93;263;114;132;266;67;0;0;3219;1038;642;79;220;279;371;2;105;28;179;67;86;674;0;22;27;280;595;0;5;0;513;376;277;0;55;662;0;84;0;13
green areas;57;145;28;10;9;19;0;0;442;2241;34;18;160;16;266;0;132;59;84;50;33;467;0;22;1;95;362;0;1;0;223;57;129;0;123;677;0;16;0;24
water basins;19;20;2;2;45;60;0;0;209;41;2715;2;58;0;62;0;3;4;529;5;25;58;0;2;1;10;71;2;6;0;128;19;14;0;1;19;0;6;0;985
coniferous forests;1;55;0;8;32;5;0;0;5;3;2;917;118;743;1;6;1;0;9;0;1;8;0;0;3;8;6;0;5;0;2;3;3;0;5;49;0;1;0;0
deciduous forests;523;655;7;180;79;20;0;0;72;464;86;39;7485;188;80;10;15;26;736;31;47;85;0;15;17;66;185;0;14;0;307;75;113;0;19;216;0;16;0;129
mixed coniferous and broad-leaved forests;6;89;0;11;115;1;0;0;4;2;0;236;463;966;4;0;1;0;26;0;1;8;0;0;0;18;1;0;5;0;5;18;4;0;4;10;0;0;0;2
construction sites;55;61;22;9;19;181;0;0;117;335;16;0;38;2;1210;0;51;7;128;121;28;542;0;3;0;21;343;0;9;0;316;34;34;0;24;236;0;17;0;21
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
