;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2305;336;0;35;34;2;0;0;19;70;7;1;365;2;26;1;0;44;181;4;137;22;0;15;8;53;30;0;3;0;151;32;47;0;0;36;0;19;0;15
areas with evolving shrubby and tree vegetation;277;1265;12;70;532;13;0;0;46;130;30;53;657;50;44;0;5;54;98;65;47;48;0;23;5;96;66;0;4;0;93;68;39;0;1;36;0;14;0;59
airport areas and heliports;5;50;90;5;0;0;0;0;67;34;0;0;2;0;17;0;7;2;116;23;4;57;0;0;0;4;30;0;0;0;61;0;14;0;0;54;0;5;0;0
areas with agricultural crops and important natural spaces;64;247;1;353;17;8;0;0;97;68;3;7;257;18;6;0;3;86;14;5;23;37;0;25;1;154;34;0;2;0;23;136;157;0;1;148;0;5;0;0
areas with sparse vegetation;3;262;1;12;3029;159;0;0;9;2;10;11;131;35;8;2;0;0;70;31;3;8;0;2;0;30;31;0;96;0;3;41;2;0;0;8;0;1;0;0
mining areas;60;249;1;4;78;737;0;0;105;134;324;0;78;0;584;0;0;10;729;146;40;64;0;2;0;21;150;5;7;0;34;48;13;0;0;0;0;13;0;364
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;5;0;0;3;0;97;0;0;0;0;0;0;0;125;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
recreational and sports areas;50;316;79;49;419;116;0;0;4065;730;648;139;424;58;424;1;61;30;155;92;70;715;0;89;27;159;602;0;16;0;422;203;155;0;32;439;0;39;0;9
green areas;94;115;34;10;7;32;0;0;458;2319;19;20;175;9;236;0;70;59;99;43;21;562;0;21;0;74;411;0;2;0;232;26;152;0;116;542;0;18;0;24
water basins;13;18;1;3;43;102;0;0;119;44;3202;0;57;1;41;0;0;4;303;14;22;143;0;6;1;7;110;0;2;0;91;15;11;0;0;21;0;5;0;724
coniferous forests;2;26;0;5;33;7;0;0;15;2;0;1010;158;648;2;3;1;0;4;3;0;4;0;0;3;10;12;0;5;0;0;4;1;0;8;34;0;0;0;0
deciduous forests;562;410;9;107;77;14;0;0;96;298;72;37;7988;186;78;5;9;25;735;32;42;148;0;20;23;77;197;0;6;0;366;57;99;0;11;145;2;12;0;55
mixed coniferous and broad-leaved forests;3;85;0;13;81;5;0;0;1;5;2;273;562;862;0;0;1;3;25;2;0;6;0;1;0;27;8;0;3;0;5;11;3;0;1;11;0;0;0;1
construction sites;41;56;36;3;11;160;0;0;123;325;22;0;78;0;1128;0;43;5;154;212;13;523;0;2;0;31;400;0;0;0;323;36;30;0;27;175;0;12;0;31
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;11;0;10;6;0;0;0;0;98;77;0;2;16;5;23;0;645;5;12;16;0;410;0;0;0;2;145;0;0;0;52;15;6;0;70;368;0;6;0;0
temporary crops associated with permanent crops;95;59;11;38;6;40;0;0;124;275;3;1;60;0;61;0;10;179;57;9;31;82;0;2;0;91;48;0;0;0;295;94;220;0;3;77;0;17;0;12
waterways, canals and waterways;120;108;12;4;52;89;0;0;75;122;323;7;475;15;161;0;8;11;5366;32;15;115;0;2;0;21;382;0;5;0;284;9;23;0;3;43;0;14;0;104
landfills and scrap yards;31;269;30;26;13;424;0;0;248;195;8;0;87;1;328;0;3;6;89;822;23;937;0;0;0;135;661;0;5;0;119;385;21;0;4;66;0;2;0;51
orchards;96;43;8;3;2;1;0;0;47;41;6;0;26;0;17;0;3;10;23;1;1208;23;0;32;0;6;10;0;0;0;86;22;63;0;1;34;0;187;0;1
industrial, commercial, large-scale plant and service settlements;76;131;62;31;9;53;0;0;469;711;94;1;384;3;414;0;210;17;325;167;42;5684;0;5;0;42;1452;0;1;0;279;49;66;0;371;736;0;28;0;55
