;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2339;300;7;56;21;1;0;0;21;64;6;1;396;2;29;3;0;32;185;16;121;11;0;19;0;66;38;0;1;0;137;24;42;0;0;32;0;16;0;14
areas with evolving shrubby and tree vegetation;392;1296;4;66;531;17;0;0;39;149;17;39;633;51;28;2;4;32;92;47;27;25;0;30;1;78;72;0;3;0;102;84;35;0;0;27;0;7;0;70
airport areas and heliports;13;6;95;2;0;0;0;0;118;61;0;0;0;0;0;0;18;81;71;0;23;3;0;0;0;19;51;0;0;0;56;0;7;0;0;22;0;1;0;0
areas with agricultural crops and important natural spaces;56;204;3;370;8;4;0;0;108;62;8;1;301;14;6;0;1;86;15;3;19;10;0;51;0;137;33;0;0;0;24;129;193;0;0;154;0;0;0;0
areas with sparse vegetation;2;215;0;7;3109;138;0;0;18;5;4;3;157;19;2;0;0;1;33;27;1;3;0;12;0;8;31;0;148;0;1;41;3;0;0;6;0;6;0;0
mining areas;36;125;14;0;151;970;0;0;166;69;245;0;152;0;523;0;4;1;828;242;12;36;0;0;0;2;81;6;13;0;38;18;22;0;0;0;0;20;0;226
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;1;0;0;11;0;162;0;0;0;0;0;0;0;29;0;0;1;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;11
recreational and sports areas;42;216;119;28;281;258;0;0;4720;849;599;108;319;185;239;1;80;31;75;158;34;561;0;48;18;43;498;1;9;0;514;201;175;0;28;357;2;21;0;15
green areas;88;103;51;8;4;55;0;0;635;2496;22;27;218;4;187;0;82;39;96;77;21;386;0;19;0;27;470;0;0;0;165;15;87;0;124;455;0;14;0;25
water basins;17;16;1;2;42;60;0;0;100;31;3101;0;65;0;67;0;1;8;337;39;14;175;0;7;0;1;138;0;0;0;89;11;11;0;0;16;0;2;0;772
coniferous forests;3;34;0;4;41;9;0;0;16;2;1;923;213;670;1;6;0;0;9;1;0;5;0;2;1;4;4;0;1;0;0;6;0;0;3;41;0;0;0;0
deciduous forests;446;353;0;104;55;16;0;0;134;230;61;24;8337;127;64;9;5;25;787;51;45;110;0;26;19;32;193;0;4;0;443;42;69;0;4;123;1;10;0;51
mixed coniferous and broad-leaved forests;5;64;0;23;79;2;0;0;5;2;0;208;541;981;0;0;1;2;23;0;0;2;0;1;0;23;2;0;7;0;1;12;0;0;0;16;0;0;0;0
construction sites;27;32;42;3;14;213;0;0;155;278;15;1;63;0;1136;0;48;5;134;329;9;454;0;6;0;12;507;1;2;0;258;41;16;0;29;139;0;9;0;22
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;10;5;6;6;0;0;0;0;129;86;0;1;17;0;21;0;734;1;3;17;0;384;0;0;0;2;137;0;1;0;45;11;5;0;65;306;0;8;0;0
temporary crops associated with permanent crops;128;59;21;32;4;49;0;0;197;266;4;0;62;0;54;0;7;263;51;17;10;71;0;20;0;70;43;0;0;0;231;99;158;0;3;63;0;9;0;9
waterways, canals and waterways;106;65;14;18;61;93;0;0;118;109;273;2;482;5;153;0;11;7;5499;76;12;82;0;2;0;7;398;0;5;0;236;9;19;0;7;44;0;10;0;77
landfills and scrap yards;5;245;10;1;37;804;0;0;255;237;15;0;73;0;179;0;2;21;61;708;4;811;0;0;0;102;735;0;4;0;109;416;36;0;4;61;0;0;0;54
orchards;136;38;5;8;0;5;0;0;53;42;4;0;16;0;15;0;2;10;31;7;1156;8;0;37;0;10;17;0;0;0;83;18;63;0;1;43;0;192;0;0
industrial, commercial, large-scale plant and service settlements;89;102;65;29;4;44;0;0;589;628;77;2;444;0;350;0;136;8;344;233;29;5615;0;8;0;18;1493;0;4;0;258;48;31;0;525;725;0;21;0;48
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;22;8;71;8;26;2;0;0;307;136;1;0;28;0;9;0;4;10;4;9;103;21;0;825;0;6;23;0;0;0;59;57;104;0;0;47;0;110;0;0
high altitude prairies and moors;0;0;0;0;34;0;0;0;2;0;0;0;20;1;0;31;0;0;0;0;0;0;0;0;1880;0;0;0;28;0;0;0;0;0;0;0;4;0;0;0
stable meadows;37;98;15;141;42;13;0;0;66;27;3;2;63;2;5;1;3;56;16;3;7;14;0;18;1;632;14;0;1;0;80;563;36;0;0;34;0;7;0;0
road and railway infrastructure networks and areas and ancillary spaces;30;54;138;30;33;180;0;0;273;305;56;10;235;3;455;0;75;2;326;477;13;2557;0;0;2;28;8427;0;8;0;535;46;21;0;309;278;0;11;0;4
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;24;0;0;359;5;0;0;6;8;0;0;88;0;0;0;16;0;2;1;0;4;0;0;1;1;11;0;127;0;0;0;0;0;0;44;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;311;38;17;0;4;20;0;0;252;164;22;0;81;0;147;0;30;42;92;49;234;185;0;14;1;19;152;3;1;0;3777;37;128;0;6;107;0;28;0;39
non-irrigated arable land;15;19;9;61;19;9;0;0;35;9;6;0;40;1;5;0;1;45;4;11;13;12;0;34;0;261;11;0;1;0;159;1132;37;0;0;38;0;13;0;0
complex cultivation and parcel systems;59;41;3;42;1;5;0;0;229;237;4;0;86;3;43;0;11;71;56;10;85;58;0;43;0;42;74;0;0;0;206;34;338;0;7;177;0;33;0;2
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
