;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2240;283;2;44;23;12;0;0;32;64;5;1;446;2;34;0;0;33;223;16;114;15;0;18;0;69;36;0;0;0;169;25;34;0;0;33;0;12;0;15
areas with evolving shrubby and tree vegetation;340;1304;2;58;531;28;0;0;86;133;16;45;686;58;29;0;1;52;97;56;37;23;0;25;1;63;75;0;4;0;81;57;31;0;0;29;0;2;0;50
airport areas and heliports;4;10;105;0;0;4;0;0;192;41;0;0;0;0;0;0;7;24;117;3;26;4;0;0;0;5;29;0;0;0;30;0;8;0;0;12;0;26;0;0
areas with agricultural crops and important natural spaces;50;238;0;351;14;4;0;0;106;64;6;7;307;11;7;0;2;146;2;5;10;9;0;30;0;171;34;0;0;0;14;100;157;0;0;154;0;1;0;0
areas with sparse vegetation;2;232;0;2;3059;161;0;0;28;1;6;15;157;41;3;0;0;1;28;36;1;2;0;5;0;14;40;0;127;0;0;32;4;0;0;3;0;0;0;0
mining areas;33;179;3;1;69;880;0;0;172;42;269;0;71;0;513;0;0;3;1007;98;25;54;0;14;0;1;144;6;4;0;18;26;21;0;0;1;0;27;0;319
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;0;0;0;6;0;169;0;0;0;0;0;0;0;52;3;0;2;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
recreational and sports areas;44;320;102;32;328;164;0;0;4833;652;676;126;312;156;360;2;79;24;114;129;53;590;0;61;25;78;576;0;2;0;349;110;145;0;29;340;0;15;0;7
green areas;90;144;44;11;6;37;0;0;653;2345;12;21;244;3;213;0;94;39;105;102;17;433;0;23;1;27;480;0;0;0;140;9;94;0;105;464;0;16;0;28
water basins;11;10;1;0;41;124;0;0;105;32;3148;2;69;0;39;0;0;4;484;9;19;76;0;6;0;6;156;1;0;0;85;15;5;0;0;7;0;5;0;663
coniferous forests;0;42;0;8;42;2;0;0;16;0;2;1023;230;532;1;6;0;0;9;1;0;7;0;1;1;5;8;0;1;0;2;9;0;0;5;47;0;0;0;0
deciduous forests;442;287;2;108;62;23;0;0;144;254;63;26;8358;139;68;7;3;22;741;34;31;106;0;16;19;48;224;0;6;0;336;55;70;0;6;183;2;9;0;106
mixed coniferous and broad-leaved forests;7;82;0;16;97;4;0;0;16;6;1;240;554;895;0;0;0;0;25;0;0;2;0;1;0;21;2;0;0;0;3;17;2;0;0;9;0;0;0;0
construction sites;39;39;27;4;10;165;0;0;184;296;8;0;59;0;1252;0;27;8;144;243;8;488;0;1;0;14;489;0;0;0;246;36;12;0;27;145;0;7;0;22
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;4;4;13;6;0;0;0;0;141;77;0;1;18;0;20;0;615;2;15;9;1;446;0;0;0;2;151;0;0;0;68;5;6;0;65;323;0;8;0;0
temporary crops associated with permanent crops;104;66;11;41;3;23;0;0;117;231;1;0;62;0;107;0;3;256;59;14;14;83;0;16;0;102;67;0;0;0;262;68;196;0;6;57;0;23;0;8
waterways, canals and waterways;71;51;9;8;70;229;0;0;107;112;288;2;509;6;172;0;2;17;5466;45;11;81;0;3;0;7;340;0;11;0;242;9;9;0;4;37;0;9;0;73
landfills and scrap yards;11;148;2;6;84;477;0;0;402;139;10;0;165;0;218;0;4;25;128;944;1;821;0;0;0;125;674;0;8;0;91;386;8;0;1;83;0;0;0;28
orchards;135;26;3;7;1;2;0;0;58;36;5;0;26;0;16;0;0;17;26;4;1155;21;0;39;0;8;16;0;0;0;108;13;41;0;0;47;0;190;0;0
industrial, commercial, large-scale plant and service settlements;71;107;65;24;5;50;0;0;561;580;84;0;456;2;319;0;165;10;413;200;60;5374;0;6;0;22;1844;0;2;0;262;25;33;0;475;682;0;16;0;54
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;9;18;62;2;26;0;0;0;322;157;7;0;24;0;3;0;8;1;2;26;96;19;0;772;0;0;30;0;0;0;24;61;125;0;0;84;0;122;0;0
high altitude prairies and moors;0;0;0;0;36;0;0;0;2;0;0;0;22;1;0;24;0;0;0;0;0;0;0;0;1872;0;0;0;34;0;0;0;0;0;0;0;9;0;0;0
stable meadows;32;115;21;140;44;11;0;0;77;28;7;1;73;4;6;0;0;66;28;3;4;15;0;27;2;656;18;0;0;0;70;490;21;0;1;36;0;4;0;0
road and railway infrastructure networks and areas and ancillary spaces;35;31;75;28;28;135;0;0;241;303;54;9;230;4;516;0;62;7;335;436;21;2613;0;0;1;41;8598;0;12;0;473;42;25;0;278;274;0;11;0;3
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;19;0;0;350;1;0;0;1;0;0;0;118;4;0;0;10;0;0;0;0;13;0;0;1;0;12;0;137;0;0;0;0;0;0;31;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;300;92;15;1;1;15;0;0;183;154;26;0;71;0;219;0;23;33;98;106;117;180;0;6;0;24;167;1;1;0;3873;32;78;0;4;113;0;32;0;35
non-irrigated arable land;16;29;6;44;18;8;0;0;48;8;3;1;49;0;16;0;0;47;5;4;14;16;0;45;0;272;18;0;0;0;130;1129;24;0;0;42;0;8;0;0
complex cultivation and parcel systems;55;58;6;59;1;2;0;0;193;219;8;0;93;2;60;1;11;55;51;19;71;74;0;40;0;50;72;0;0;0;178;52;267;0;9;246;0;48;0;0
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;1;1;2;1;0;2;0;0;47;64;0;0;8;0;14;0;87;3;17;17;3;494;0;1;0;0;172;0;0;0;8;3;1;0;2726;328;0;0;0;0
discontinuous fabric;12;35;3;31;9;2;0;0;280;306;7;14;99;5;82;0;127;15;53;27;23;435;0;8;0;14;254;0;0;0;141;28;64;0;210;1692;0;22;0;2
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;4;0;0;0;0;0;0;0;0;191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vineyards;28;10;14;0;0;1;0;0;41;18;0;0;3;0;9;0;0;5;17;1;117;8;0;28;0;3;11;0;0;0;62;3;32;0;0;20;0;1567;0;2
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;14;34;0;0;6;84;0;0;7;19;246;0;148;0;56;0;0;26;177;39;2;14;0;0;0;1;16;1;0;0;56;0;1;0;0;0;1;1;0;1051
