;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;1983;307;1;56;8;3;0;0;15;64;10;1;378;5;74;0;1;17;156;7;389;19;0;15;2;60;14;0;0;0;195;35;47;0;0;54;0;68;0;16
areas with evolving shrubby and tree vegetation;305;1401;2;65;381;25;0;0;43;97;27;27;592;63;39;1;2;61;109;21;101;42;0;9;1;147;49;0;4;0;116;71;71;0;1;42;0;35;0;50
airport areas and heliports;11;0;19;8;0;0;0;0;246;30;0;0;2;0;0;0;21;4;69;0;20;6;0;0;0;90;56;0;0;0;26;0;0;0;0;26;0;13;0;0
areas with agricultural crops and important natural spaces;33;202;0;329;16;0;0;0;60;66;8;17;270;25;11;0;10;97;11;0;38;23;0;9;0;222;21;0;0;0;28;195;111;0;2;191;0;4;0;1
areas with sparse vegetation;2;364;2;12;2827;113;0;0;9;2;5;20;185;47;26;0;0;1;58;18;2;14;0;3;0;47;27;0;156;0;4;36;7;0;0;12;0;1;0;0
mining areas;31;275;10;1;61;809;0;0;83;98;393;0;71;1;603;0;0;0;767;83;15;91;0;31;0;35;96;29;8;0;39;42;11;0;0;1;2;19;0;295
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;1;0;0;17;26;156;0;0;0;0;0;0;0;8;0;0;24;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;0;0;0
recreational and sports areas;75;296;106;39;342;130;0;0;3732;975;574;155;272;270;272;0;130;47;176;160;81;738;0;21;25;121;499;0;2;0;516;180;167;0;54;610;1;52;0;15
green areas;70;125;40;24;7;44;0;0;477;2276;34;15;170;3;231;0;90;62;102;62;26;487;0;12;0;64;378;0;1;0;218;31;93;0;131;664;0;40;0;23
water basins;13;8;0;0;42;78;0;0;196;33;3303;0;67;0;29;0;0;1;405;5;20;51;0;2;0;10;91;6;0;0;86;10;11;0;1;22;0;8;0;625
coniferous forests;10;53;0;13;44;4;0;0;6;6;2;844;187;722;0;1;2;0;2;1;0;5;0;0;9;10;10;0;4;0;1;3;2;0;13;46;0;0;0;0
deciduous forests;446;465;2;134;84;11;0;0;97;330;116;52;7829;193;64;6;15;37;723;26;63;103;0;18;23;83;194;3;10;0;416;53;116;0;19;172;1;11;0;85
mixed coniferous and broad-leaved forests;1;108;0;11;92;1;0;0;8;4;1;241;540;909;2;1;1;3;13;1;0;0;0;0;0;22;5;0;2;0;3;17;0;0;0;14;0;0;0;0
construction sites;54;34;40;5;10;151;0;0;131;293;17;0;65;2;1274;0;51;4;126;155;18;553;0;1;0;36;323;2;5;0;336;26;29;0;28;185;0;24;0;22
