;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2174;305;2;55;23;6;0;0;66;105;9;4;356;4;41;0;1;47;189;7;174;27;0;20;0;69;58;0;0;0;90;22;45;0;1;33;0;54;0;13
areas with evolving shrubby and tree vegetation;349;1219;3;86;541;22;0;0;50;163;36;37;503;100;57;2;2;65;94;58;27;49;0;25;3;81;90;0;2;0;72;64;61;0;1;44;0;33;0;61
airport areas and heliports;0;29;20;1;0;1;0;0;146;99;0;0;1;0;6;0;10;45;81;7;0;18;0;0;0;11;56;0;0;0;27;0;6;0;0;22;0;61;0;0
areas with agricultural crops and important natural spaces;106;183;2;337;16;12;0;0;68;80;9;10;230;20;8;0;1;137;26;3;25;43;0;39;0;199;24;0;1;0;16;91;125;0;4;175;0;8;0;2
areas with sparse vegetation;3;231;2;12;2939;197;0;0;31;6;6;4;91;63;32;0;2;0;68;37;0;11;0;21;0;21;28;0;123;0;1;50;13;0;0;6;0;2;0;0
mining areas;51;173;4;6;293;762;0;0;70;94;311;0;62;0;676;0;3;2;904;85;37;38;0;14;0;8;77;55;11;0;19;33;24;0;0;0;0;8;0;180
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;1;4;0;0;0;0;0;0;48;0;114;0;15;0;1;0;0;0;5;0;0;5;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;27
recreational and sports areas;39;265;173;75;487;133;0;0;3984;790;685;192;244;226;361;0;94;41;154;145;62;734;0;48;27;91;613;0;4;0;238;133;197;0;65;431;0;77;0;25
green areas;99;134;23;17;14;38;0;0;465;2280;23;21;188;3;287;0;97;47;125;82;33;597;0;19;1;39;379;0;0;0;172;12;130;0;82;543;0;23;0;27
water basins;18;22;1;1;48;81;0;0;189;58;2866;0;67;0;67;0;2;10;333;7;18;118;0;2;0;4;85;0;1;0;46;18;9;0;0;14;2;11;0;1025
coniferous forests;3;46;0;10;42;23;0;0;23;9;1;794;114;831;0;2;5;0;13;0;0;9;0;1;5;13;0;0;3;0;1;8;3;0;2;39;0;0;0;0
deciduous forests;610;458;1;132;78;4;0;0;135;387;62;35;7624;293;70;7;9;30;830;30;52;173;0;44;20;58;174;0;6;0;197;58;102;0;7;202;3;6;0;103
mixed coniferous and broad-leaved forests;7;104;0;32;113;8;0;0;7;5;2;248;414;974;0;0;0;2;19;1;0;2;0;0;0;17;1;0;9;0;2;17;3;0;1;12;0;0;0;0
construction sites;30;36;52;3;11;242;0;0;125;282;32;0;76;2;1254;0;30;10;159;194;21;537;0;0;0;24;420;1;1;0;153;18;45;0;15;182;0;23;0;22
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;4;2;20;5;0;1;0;0;116;92;0;0;13;3;36;0;628;0;17;14;2;455;0;0;0;5;136;0;0;0;36;14;10;0;94;295;0;2;0;0
temporary crops associated with permanent crops;129;93;10;27;1;46;0;0;154;211;4;0;53;1;114;0;7;196;92;19;36;88;0;17;0;113;34;0;0;0;156;60;214;0;5;86;0;27;0;7
waterways, canals and waterways;125;132;24;10;81;158;0;0;101;147;308;0;461;11;196;0;4;29;5182;49;11;146;0;2;0;23;413;1;9;0;163;15;39;0;3;51;0;6;0;100
landfills and scrap yards;26;295;4;16;53;358;0;0;208;89;21;0;87;0;272;0;7;63;127;729;3;915;0;0;0;460;728;0;8;0;80;323;38;0;2;71;0;0;0;6
orchards;112;37;5;8;1;4;0;0;45;57;7;0;23;1;24;0;3;19;35;9;1101;38;0;35;0;4;8;0;0;0;63;13;60;0;0;59;0;225;0;4
industrial, commercial, large-scale plant and service settlements;68;113;86;17;9;50;0;0;510;606;99;1;383;1;420;0;226;44;440;235;62;5583;0;2;0;33;1417;1;3;0;162;28;85;0;377;828;0;19;0;59
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;11;13;74;6;14;2;0;0;137;226;3;1;13;0;11;0;6;10;6;9;149;16;0;636;0;7;14;0;0;0;24;56;272;0;0;97;0;187;0;0
high altitude prairies and moors;0;1;0;0;45;0;0;0;2;0;0;1;15;0;0;34;0;0;0;0;0;0;0;0;1859;0;0;0;35;0;0;0;0;0;0;0;8;0;0;0
stable meadows;19;121;6;136;36;13;0;0;59;44;5;2;70;7;11;0;5;64;21;3;8;33;0;17;3;654;26;0;0;0;52;501;35;0;2;36;0;9;0;2
road and railway infrastructure networks and areas and ancillary spaces;36;85;158;30;28;78;0;0;245;329;69;9;226;6;941;0;133;20;409;285;15;3026;0;1;3;44;7622;0;7;0;410;57;55;0;259;302;0;16;0;17
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;38;0;0;353;0;0;0;4;0;2;7;62;12;1;0;20;0;11;0;0;9;0;0;0;2;8;0;120;0;0;0;0;0;0;48;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;203;84;25;2;2;18;0;0;191;172;24;0;79;0;238;0;35;80;114;47;274;219;0;6;0;39;172;1;16;0;3505;61;144;0;15;155;0;36;0;43
non-irrigated arable land;11;42;4;56;28;4;0;0;31;8;7;1;38;3;18;0;2;51;11;6;15;29;0;31;0;292;24;0;0;0;90;1113;29;0;1;41;0;14;0;0
complex cultivation and parcel systems;55;96;4;40;3;4;0;0;144;248;8;1;96;0;64;0;18;84;55;6;94;86;0;40;0;56;78;0;0;0;102;31;322;0;5;209;0;50;0;1
