;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2199;298;6;37;12;22;0;0;23;61;6;0;346;3;20;0;2;25;220;2;327;23;0;18;0;70;21;1;0;0;86;20;44;0;1;41;0;59;0;7
areas with evolving shrubby and tree vegetation;448;1246;5;95;467;16;0;0;46;151;32;59;459;89;43;1;3;41;114;34;92;29;0;25;5;164;37;0;4;0;53;53;50;0;1;50;0;12;0;76
airport areas and heliports;0;1;101;2;0;0;0;0;225;51;0;0;1;0;3;0;9;30;49;4;9;12;0;0;0;33;10;0;0;0;54;5;21;0;0;15;0;12;0;0
areas with agricultural crops and important natural spaces;92;259;2;325;19;5;0;0;52;78;10;7;178;20;19;0;2;70;13;1;50;22;0;15;0;201;15;0;0;0;20;129;155;0;5;227;0;9;0;0
areas with sparse vegetation;3;374;1;15;2846;173;0;0;13;13;14;21;73;70;14;0;0;0;50;33;4;11;0;14;0;51;28;0;131;0;0;22;11;0;0;10;0;4;0;1
mining areas;59;267;4;0;196;608;0;0;93;146;215;0;80;0;685;0;0;4;763;124;10;59;0;14;0;57;115;6;26;0;11;44;9;0;0;0;0;8;0;397
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;6;0;0;23;0;35;0;0;0;0;0;0;0;108;0;0;31;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;31
recreational and sports areas;91;263;86;35;374;145;0;0;3489;1045;725;29;315;301;381;0;95;115;153;77;236;570;0;64;33;91;382;0;26;0;367;307;379;0;57;541;0;48;0;13
green areas;126;117;18;15;10;34;0;0;408;2405;23;12;191;17;313;0;91;55;131;60;56;409;0;19;0;74;355;0;2;0;148;19;150;0;149;554;0;23;0;16
water basins;12;19;0;2;40;27;0;0;133;48;3251;0;60;2;65;0;0;2;439;8;16;105;0;1;0;4;57;1;2;0;38;11;7;0;0;13;0;11;0;749
coniferous forests;15;30;0;11;46;11;0;0;5;14;1;807;133;803;2;3;4;0;8;1;0;8;0;0;4;15;19;0;3;0;1;5;5;0;9;37;0;0;0;0
deciduous forests;498;527;0;268;121;15;0;0;92;351;87;80;7604;282;104;10;35;30;660;39;65;114;0;21;34;76;171;0;10;0;183;60;69;0;21;230;3;17;0;123
mixed coniferous and broad-leaved forests;11;81;0;32;95;1;0;0;7;5;2;256;459;955;3;0;0;3;20;1;0;3;0;0;0;23;8;0;5;0;1;6;6;0;1;16;0;0;0;0
construction sites;84;43;34;2;13;122;0;0;163;359;17;2;48;0;1422;0;38;9;162;152;22;450;0;1;0;37;310;1;1;0;201;29;24;0;35;175;0;23;0;21
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;15;12;8;3;0;0;0;0;83;79;0;0;18;1;51;0;655;14;6;12;2;400;0;0;0;2;129;0;0;0;31;9;11;0;122;328;0;9;0;0
temporary crops associated with permanent crops;107;95;44;41;6;54;0;0;101;197;6;1;51;0;91;0;6;180;100;3;59;95;0;3;0;121;38;0;0;0;197;76;159;0;3;104;0;61;0;1
waterways, canals and waterways;120;109;7;9;65;116;0;0;70;172;186;4;395;22;164;0;9;11;5647;82;20;91;0;3;0;24;223;0;22;0;125;17;47;0;12;78;0;12;0;138
landfills and scrap yards;59;505;9;16;155;96;0;0;338;273;24;1;50;1;342;0;48;26;78;365;12;1005;0;0;0;462;537;0;3;0;67;393;21;0;4;73;0;11;0;15
orchards;111;41;6;8;0;2;0;0;28;48;6;1;19;0;19;0;1;10;30;6;1218;25;0;39;0;9;14;0;0;0;66;22;32;0;2;31;0;205;0;1
industrial, commercial, large-scale plant and service settlements;131;179;64;54;14;42;0;0;506;774;223;4;328;4;593;0;289;61;462;205;18;4972;0;1;0;20;1250;0;3;0;255;30;63;0;564;790;0;46;0;22
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;58;18;26;16;20;1;0;0;97;228;5;2;20;0;17;0;4;40;2;15;165;31;0;744;0;19;6;0;0;0;19;74;165;0;2;94;0;112;0;0
high altitude prairies and moors;0;0;0;2;52;0;0;0;2;1;0;0;21;4;0;8;0;0;0;0;0;0;0;0;1880;0;0;0;29;0;0;0;0;0;0;0;1;0;0;0
stable meadows;27;116;12;157;31;4;0;0;47;43;3;7;45;6;13;0;4;54;16;8;9;18;0;29;2;692;21;0;1;0;77;455;39;0;4;41;0;17;0;2
road and railway infrastructure networks and areas and ancillary spaces;26;114;113;42;19;31;0;0;291;539;65;14;172;8;809;0;155;22;358;234;17;2884;0;1;0;50;7803;1;11;0;357;20;78;0;325;325;0;17;0;20
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
