;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2164;203;0;127;0;0;0;0;64;0;202;0;539;0;28;0;0;22;49;0;221;13;0;0;0;116;56;0;0;0;166;0;2;0;15;2;0;0;0;11
areas with evolving shrubby and tree vegetation;353;1229;0;149;0;0;0;0;139;0;107;21;1204;0;18;6;1;28;40;0;68;32;0;0;1;223;149;0;0;0;146;0;2;0;18;6;0;0;0;60
airport areas and heliports;37;0;0;24;0;0;0;0;322;0;46;0;1;0;2;0;7;15;31;0;40;31;0;0;0;18;20;0;0;0;49;0;0;0;4;0;0;0;0;0
areas with agricultural crops and important natural spaces;33;219;0;666;0;0;0;0;166;0;7;0;287;0;6;0;3;72;2;0;7;10;0;0;0;299;20;0;0;0;92;0;3;0;105;3;0;0;0;0
areas with sparse vegetation;28;283;0;12;0;0;0;0;23;0;49;5;3343;0;2;0;0;0;10;0;0;5;0;0;0;52;177;0;0;0;10;0;0;0;1;0;0;0;0;0
mining areas;29;133;0;42;0;0;0;0;179;0;1294;0;188;0;497;0;0;1;125;0;3;37;0;0;0;16;1179;0;0;0;46;0;0;0;0;0;0;0;0;231
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;0;0;0;0;0;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
recreational and sports areas;168;236;0;268;0;0;0;0;5463;0;637;85;737;0;190;2;76;39;175;0;35;655;0;0;21;212;827;0;0;0;614;0;10;0;364;13;0;0;0;6
green areas;92;98;0;147;0;0;0;0;2872;0;70;11;231;0;222;0;87;24;39;0;15;584;0;0;0;64;525;0;0;0;205;0;6;0;670;26;0;0;0;12
